                    WELL                INCLUDE             CHAR                TYPE                MAIN                DIVIDER             DELIMETER           L_BIG_BRACKET       R_BIG_BRACKET       L_MID_BRACKET       R_MID_BRACKET       L_SMA_BRACKET       R_SMA_BRACKET       L_SHA_BRACKET       R_SHA_BRACKET       ADDSUB              PLUSDIV             COMP                EXCLAINMATION       LOGIC               WAVE                BIT                 IF                  ELSE                WHILE               RETURN              ASSIGN              CAL_ASSIGN          SELF                INTEGER             FLOAT               CHARACTER           STRING              ID                  UNDEFINED           TAIL                
E                             R5                  E                             R5                  R5                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             R12                  S37                  E                             E                             E                             E                             S38                  E                             E                             R12                  E                             E                             E                             E                             E                             E                             R12                  E                             R12                  E                             R12                  E                             R12                  E                             E                             E                             R12                  R12                  R12                  R12                  E                             R12                  E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             S39                  E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             S40                  E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             S41                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             S42                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             S43                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             S36                  S37                  E                             E                             E                             E                             R27                  E                             E                             R27                  E                             E                             E                             E                             E                             E                             R27                  E                             R27                  E                             S47                  E                             R27                  R27                  E                             E                             R27                  R27                  R27                  R27                  E                             R27                  E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             S38                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             R20                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             S49                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             R21                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             S50                  E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             S51                  E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             R19                  
E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             S52                  E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             R14                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             S55                  E                             E                             E                             E                             E                             E                             
